estado,escolaridad
Aguascalientes,10.35
Baja California,10.2
Baja California Sur,10.34
Campeche,9.63
Coahuila de Zaragoza,10.43
Colima,10.05
Chiapas,7.78
Chihuahua,10.0
Ciudad de México,11.48
Durango,9.75
Guanajuato,9.04
Guerrero,8.37
Hidalgo,9.37
Jalisco,9.9
México,10.08
Michoacán de Ocampo,8.6
Morelos,9.84
Nayarit,9.73
Nuevo León,10.74
Oaxaca,8.12
Puebla,9.16
Querétaro,10.48
Quintana Roo,10.24
San Luis Potosí,9.61
Sinaloa,10.22
Sonora,10.4
Tabasco,9.69
Tamaulipas,10.09
Tlaxcala,9.83
Veracruz de Ignacio de la Llave,8.75
Yucatán,9.59
Zacatecas,9.25
